2019-11-20 00:39:29,573: 'a'
2019-11-20 00:39:29,685: 's'
2019-11-20 00:39:29,765: 'd'
2019-11-20 00:39:29,790: 'f'
2019-11-20 00:39:29,925: 'a'
2019-11-20 00:39:29,957: 's'
2019-11-20 00:39:30,021: 'd'
2019-11-20 00:39:30,062: 'f'
2019-11-20 00:39:30,198: 'a'
2019-11-20 00:39:30,221: 's'
2019-11-20 00:39:30,293: 'd'
2019-11-20 00:39:30,333: 'f'
2019-11-20 00:39:30,470: 'a'
2019-11-20 00:39:30,493: 's'
2019-11-20 00:39:30,566: 'd'
2019-11-20 00:39:30,605: 'f'
2019-11-20 00:39:30,733: 'a'
2019-11-20 00:39:30,757: 's'
2019-11-20 00:39:30,822: 'd'
2019-11-20 00:39:30,878: 'f'
2019-11-20 00:39:31,005: 'a'
2019-11-20 00:39:31,029: 's'
2019-11-20 00:39:31,093: 'd'
2019-11-20 00:39:31,150: 'f'
2019-11-20 00:39:31,261: 'a'
2019-11-20 00:39:31,278: 's'
2019-11-20 00:39:31,357: 'd'
2019-11-20 00:39:31,406: 'f'
2019-11-20 00:39:31,541: 'a'
2019-11-20 00:39:31,558: 's'
2019-11-20 00:39:31,629: 'd'
2019-11-20 00:39:31,670: 'f'
2019-11-20 00:39:31,806: 'a'
2019-11-20 00:39:31,821: 's'
2019-11-20 00:39:31,885: 'd'
2019-11-20 00:39:31,934: 'f'
2019-11-20 00:39:32,062: 'a'
2019-11-20 00:39:32,094: 's'
2019-11-20 00:39:32,149: 'd'
2019-11-20 00:39:32,197: 'f'
2019-11-20 00:39:32,318: 'a'
2019-11-20 00:39:32,333: 's'
2019-11-20 00:39:32,397: 'd'
2019-11-20 00:39:32,446: 'f'
2019-11-20 00:39:32,565: 'a'
2019-11-20 00:39:32,581: 's'
2019-11-20 00:39:32,645: 'd'
2019-11-20 00:39:32,695: 'f'
2019-11-20 00:39:39,703: Key.ctrl_l
2019-11-20 00:39:40,030: 'c'
